label,label_encoded,cleaned_message,message_length,word_count,capital_count,special_char_count,has_free,has_win,has_winner,has_prize,has_call,has_txt,has_claim,has_urgent,has_guaranteed
spam,1,england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txt poboxoxwwq,156,24,33,0,0,0,0,0,0,1,0,0,0
ham,0,is that seriously how you spell his name,41,8,1,1,0,0,0,0,0,0,0,0,0
ham,0,im going to try for months ha ha only joking,49,11,1,0,0,0,0,0,0,0,0,0,0
ham,0,so pay first lar then when is da stock comin,53,11,3,0,0,0,0,0,0,0,0,0,0
ham,0,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,88,20,3,1,0,0,0,0,0,0,0,0,0
ham,0,ffffffffff alright no way i can meet up with you sooner,57,11,3,1,0,0,0,0,0,0,0,0,0
ham,0,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,144,28,8,0,0,0,0,0,0,0,0,0,0
ham,0,lol your always so convincing,30,5,1,0,0,0,0,0,0,0,0,0,0
ham,0,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,134,32,6,5,0,0,0,0,0,0,0,0,0
ham,0,im back amp were packing the car now ill let you know if theres room,75,15,2,0,0,0,0,0,0,0,0,0,0
ham,0,ahhh work i vaguely remember that what does it feel like lol,64,12,5,2,0,0,0,0,0,0,0,0,0
ham,0,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,130,26,1,0,0,0,0,0,0,0,0,0,0
ham,0,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you,189,41,5,3,0,0,0,0,0,0,0,0,0
ham,0,k tell me anything about you,29,6,1,0,0,0,0,0,0,0,0,0,0
ham,0,for fear of fainting with the of all that housework you just did quick have a cuppa,84,17,2,1,0,0,0,0,0,0,0,0,0
spam,1,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged,159,29,14,0,0,0,0,0,0,0,0,0,0
ham,0,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am,123,28,4,0,0,0,0,0,0,0,0,0,0
ham,0,oops ill let you know when my roommates done,47,9,2,0,0,0,0,0,0,0,0,0,0
ham,0,i see the letter b on my car,28,8,2,0,0,0,0,0,0,0,0,0,0
ham,0,anything lor u decide,27,4,2,0,0,0,0,0,0,0,0,0,0
ham,0,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,155,30,4,3,0,0,0,0,0,0,0,0,0
ham,0,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,82,17,4,0,0,0,0,0,0,0,0,0,0
ham,0,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,142,34,10,1,0,0,0,0,0,0,0,0,0
spam,1,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,172,33,7,0,1,0,0,0,1,0,0,0,0
ham,0,who are you seeing,19,4,15,1,0,0,0,0,0,0,0,0,0
ham,0,great i hope you like your man well endowed i am ltgt inches,72,13,3,1,0,0,0,0,0,0,0,0,0
ham,0,no callsmessagesmissed calls,32,3,1,0,0,0,0,0,0,0,0,0,0
ham,0,didnt you get hep b immunisation in nigeria,45,8,1,0,0,0,0,0,0,0,0,0,0
ham,0,fair enough anything going on,31,5,1,1,0,0,0,0,0,0,0,0,0
ham,0,yeah hopefully if tyler cant do it i could maybe ask around a bit,67,14,2,0,0,0,0,0,0,0,0,0,0
ham,0,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,148,30,7,0,0,0,0,0,0,0,0,0,0
ham,0,what you thinked about me first time you saw me in class,58,12,2,0,0,0,0,0,0,0,0,0,0
ham,0,a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt,124,23,1,0,0,0,0,0,0,0,0,0,0
ham,0,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,80,16,1,0,0,0,0,0,0,0,0,0,0
ham,0,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,289,55,7,0,0,0,0,0,0,0,0,0,0
spam,1,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,120,22,24,2,0,0,0,0,0,0,0,0,0
ham,0,do you know what mallika sherawat did yesterday find out now lturlgt,76,13,7,1,0,0,0,0,0,0,0,0,0
spam,1,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bxipwe pm dont miss out,161,27,12,4,1,0,0,0,1,0,0,0,0
ham,0,sorry ill call later in meeting,34,6,2,0,0,0,0,0,1,0,0,0,0
ham,0,tell where you reached,22,4,1,0,0,0,0,0,0,0,0,0,0
ham,0,yesgauti and sehwag out of odi series,40,7,1,0,0,0,0,0,0,0,0,0,0
ham,0,your gonna have to pick up a burger for yourself on your way home i cant even move pain is killing me,108,23,3,1,0,0,0,0,0,0,0,0,0
ham,0,ha ha ha good joke girls are situation seekers,48,9,2,0,0,0,0,0,0,0,0,0,0
ham,0,its a part of checking iq,25,6,3,0,0,0,0,0,0,0,0,0,0
ham,0,sorry my roommates took forever it ok if i come by now,56,12,2,1,0,0,0,0,0,0,0,0,0
ham,0,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,110,24,2,0,0,0,0,0,0,0,0,0,0
spam,1,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call,153,28,7,0,0,0,0,1,1,0,0,0,0
ham,0,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,122,23,3,1,0,0,0,0,0,0,0,0,0
spam,1,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj,161,22,26,0,0,0,0,0,0,1,1,1,0
spam,1,did you hear about the new divorce barbie it comes with all of kens stuff,78,15,5,2,0,0,0,0,0,0,0,0,0
ham,0,i plane to give on this month end,34,8,1,0,0,0,0,0,0,0,0,0,0
ham,0,wah lucky man then can save money hee,46,8,3,0,0,0,0,0,0,0,0,0,0
ham,0,finished class where are you,29,5,1,0,0,0,0,0,0,0,0,0,0
ham,0,hi babe im at home now wanna do something xx,45,10,35,1,0,0,0,0,0,0,0,0,0
ham,0,kkwhere are youhow did you performed,42,6,1,2,0,0,0,0,0,0,0,0,0
ham,0,u can call me now,20,5,1,0,0,0,0,0,1,0,0,0,0
ham,0,i am waiting machan call me once you free,43,9,2,0,1,0,0,0,1,0,0,0,0
ham,0,thats cool i am a gentleman and will treat you with dignity and respect,73,14,1,0,0,0,0,0,0,0,0,0,0
ham,0,i like you peoples very much but am very shy pa,50,11,1,0,0,0,0,0,0,0,0,0,0
ham,0,does not operate after ltgt or what,42,7,1,0,0,0,0,0,0,0,0,0,0
ham,0,its not the same here still looking for a job how much do tas earn there,76,16,4,0,0,0,0,0,0,0,0,0,0
ham,0,sorry ill call later,22,4,2,0,0,0,0,0,1,0,0,0,0
ham,0,k did you call me just now ah,32,8,2,1,0,0,0,0,1,0,0,0,0
ham,0,ok i am on the way to home hi hi,32,10,1,0,0,0,0,0,0,0,0,0,0
ham,0,you will be in the place of that man,36,9,1,0,0,0,0,0,0,0,0,0,0
ham,0,yup next stop,14,3,1,0,0,0,0,0,0,0,0,0,0
ham,0,i call you later dont have network if urgnt sms me,55,11,2,0,0,0,0,0,1,0,0,0,0
ham,0,for real when u getting on yo i only need more tickets and one more jacket and im done i already used all my multis,121,26,4,1,0,0,0,0,0,0,0,0,0
ham,0,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,144,31,5,0,0,0,0,0,0,0,0,0,0
ham,0,im really not up to it still tonight babe,42,9,1,0,0,0,0,0,0,0,0,0,0
ham,0,ela kanoil download come wen ur free,41,7,1,0,1,0,0,0,0,0,0,0,0
ham,0,yeah do dont stand to close tho youll catch something,62,10,2,2,0,0,0,0,0,0,0,0,0
ham,0,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuffmoro and that includes all my time sheets and that sorry,195,39,4,1,0,0,0,0,0,0,0,0,0
ham,0,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,141,26,19,2,0,0,0,0,0,0,0,0,0
spam,1,please call our customer service representative on between ampm as you have won a guaranteed cash or prize,139,23,6,1,0,0,0,1,1,0,0,0,1
ham,0,havent planning to buy later i check already lido only got show in e afternoon u finish work already,107,20,3,1,0,0,0,0,0,0,0,0,0
spam,1,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml po box mk h ppw,158,29,18,0,1,0,0,0,0,0,0,0,0
ham,0,watching telugu moviewat abt u,33,5,1,1,0,0,0,0,0,0,0,0,0
ham,0,i see when we finish we have loads of loans to pay,51,12,1,0,0,0,0,0,0,0,0,0,0
ham,0,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u,178,38,5,2,0,0,0,0,0,0,0,0,0
ham,0,i see a cup of coffee animation,31,7,1,0,0,0,0,0,0,0,0,0,0
ham,0,please dont text me anymore i have nothing else to say,57,11,2,0,0,0,0,0,0,0,0,0,0
ham,0,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,81,21,4,2,0,0,0,0,0,0,0,0,0
ham,0,im still looking for a car to buy and have not gone the driving test yet,76,16,2,0,0,0,0,0,0,0,0,0,0
ham,0,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,183,36,4,1,0,0,0,0,0,0,0,0,0
ham,0,umma my life and vava umma love you lot dear,44,10,1,0,0,0,0,0,0,0,0,0,0
ham,0,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,95,17,2,0,0,0,0,0,0,0,0,0,0
ham,0,aight ill hit you up when i get some cash,43,10,3,0,0,0,0,0,0,0,0,0,0
ham,0,how would my ip address test that considering my computer isnt a minecraft server,82,14,1,0,0,0,0,0,0,0,0,0,0
ham,0,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,115,24,5,1,0,0,0,0,0,0,0,0,0
ham,0,dont worry i guess hes busy,30,6,2,0,0,0,0,0,0,0,0,0,0
ham,0,what is the plural of the noun research,40,8,1,1,0,0,0,0,0,0,0,0,0
ham,0,going for dinnermsg you after,31,5,1,0,0,0,0,0,0,0,0,0,0
ham,0,im ok wif it cos i like try new things but i scared u dun like mah cos u said not too loud,96,24,3,0,0,0,0,0,0,0,0,0,0
spam,1,gent we are trying to contact you last weekends draw shows that you won a prize guaranteed call claim code k valid hrs only ppm,159,27,22,1,0,0,0,1,1,0,1,0,1
ham,0,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened,143,24,4,1,0,0,0,0,0,0,0,0,0
ham,0,as i entered my cabin my pa said happy bday boss i felt special she askd me lunch after lunch she invited me to her apartment we went there,156,32,11,2,0,0,0,0,0,0,0,0,0
spam,1,you are a winner u have been specially selected receive or a holiday flights inc speak to a live operator claim pmin,153,27,3,0,0,0,1,0,0,0,1,0,0
ham,0,goodo yes we must speak friday eggpotato ratio for tortilla needed,72,12,2,2,0,0,0,0,0,0,0,0,0
ham,0,hmmmy uncle just informed me that hes paying the school directly so pls buy food,86,15,2,0,0,0,0,0,0,0,0,0,0
spam,1,private your account statement for shows unredeemed bonus points to claim call identifier code expires,144,20,16,1,0,0,0,0,1,0,1,0,0
spam,1,urgent your mobile no was awarded bonus caller prize on this is our final try to contact u call from landline boxwrc ppm,157,26,26,2,0,0,0,1,1,0,0,1,0
ham,0,here is my new address applespairsall that malarky,53,8,0,0,0,0,0,0,0,0,0,0,0
spam,1,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app,156,27,3,1,0,0,0,0,1,0,1,0,0
ham,0,i am going to sao mu today will be done only at,52,13,2,0,0,0,0,0,0,0,0,0,0
ham,0,predict wat time ll finish buying,40,7,2,1,0,0,0,0,0,0,0,0,0
ham,0,good stuff will do,20,4,1,0,0,0,0,0,0,0,0,0,0
ham,0,just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise,244,46,4,0,0,0,0,0,0,0,0,0,0
ham,0,are you there in room,22,5,1,0,0,0,0,0,0,0,0,0,0
ham,0,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,107,27,75,3,0,0,0,0,1,0,0,0,0
ham,0,kkhow much does it cost,28,5,1,1,0,0,0,0,0,0,0,0,0
ham,0,im home,9,2,1,0,0,0,0,0,0,0,0,0,0
ham,0,dear will call tmorrowpls accomodate,39,5,2,0,0,0,0,0,1,0,0,0,0
ham,0,first answer my question,25,4,1,0,0,0,0,0,0,0,0,0,0
spam,1,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to sptyrone,126,25,15,2,0,1,0,0,0,1,0,0,0
spam,1,want get laid tonight want real dogging locations sent direct ur mob join the uks largest dogging network bt txting gravel to nt eca,162,28,16,3,0,0,0,0,0,0,0,0,0
ham,0,i only haf msn its,38,6,2,0,0,0,0,0,0,0,0,0,0
ham,0,he is there you call and meet him,34,8,2,0,0,0,0,0,1,0,0,0,0
ham,0,no no i will check all rooms befor activities,46,9,2,0,0,0,0,0,0,0,0,0,0
spam,1,youll not rcv any more msgs from the chat svc for free hardcore services text go to if u get nothing u must age verify with yr network try again,155,32,12,0,1,0,0,0,0,0,0,0,0
ham,0,got c i lazy to type i forgot in lect i saw a pouch but like not v nice,86,20,5,0,0,0,0,0,0,0,0,0,0
ham,0,k text me when youre on the way,33,8,1,0,0,0,0,0,0,0,0,0,0
ham,0,sir waiting for your mail,27,5,2,0,0,0,0,0,0,0,0,0,0
ham,0,a swt thought nver get tired of doing little things lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni,156,26,5,0,0,0,0,0,0,0,0,0,0
ham,0,i know you are can you pls open the back,42,10,2,1,0,0,0,0,0,0,0,0,0
ham,0,yes see ya not on the dot,25,7,1,0,0,0,0,0,0,0,0,0,0
ham,0,whats the staff name who is taking class for us,48,10,1,1,0,0,0,0,0,0,0,0,0
spam,1,freemsg why havent you replied to my text im randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end,159,29,9,1,0,0,0,0,0,0,0,0,0
ham,0,ummmawill call after check inour life will begin from qatar so pls pray very hard,84,15,1,0,0,0,0,0,1,0,0,0,0
ham,0,ki deleted my contact that why,33,6,1,1,0,0,0,0,0,0,0,0,0
ham,0,sindu got job in birla soft,30,7,1,0,0,0,0,0,0,0,0,0,0
ham,0,the wine is flowing and im i have nevering,45,9,1,0,0,0,0,0,0,0,0,0,0
ham,0,yup i thk cine is better cos no need go down plaza mah,59,15,1,0,0,0,0,0,0,0,0,0,0
ham,0,ok ur typical reply,25,4,2,0,0,0,0,0,0,0,0,0,0
ham,0,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows ill see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,384,80,5,0,0,0,0,0,0,0,0,0,0
ham,0,aaooooright are you at work,28,5,1,1,0,0,0,0,0,0,0,0,0
ham,0,im leaving my house now,27,5,1,0,0,0,0,0,0,0,0,0,0
ham,0,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of meare you missing me,157,33,7,6,0,0,0,0,0,0,0,0,0
spam,1,customer service annoncement you have a new years delivery waiting for you please call now to arrange delivery,124,19,5,0,0,0,0,0,1,0,0,0,0
spam,1,you are a winner u have been specially selected receive cash or a holiday flights inc speak to a live operator claim,146,27,3,0,0,0,1,0,0,0,1,0,0
ham,0,keep yourself safe for me because i need you and i miss you already and i envy everyone that sees you in real life,115,24,4,0,0,0,0,0,0,0,0,0,0
ham,0,new car and house for my parentsi have only new job in hand,64,13,1,0,0,0,0,0,0,0,0,0,0
ham,0,im so in love with you im excited each day i spend with you you make me so happy,85,19,3,0,0,0,0,0,0,0,0,0,0
spam,1,pls stop bootydelious f is inviting you to be her friend reply yes or no see her stop send stop frnd to,152,24,31,1,0,0,0,0,0,0,0,0,0
spam,1,bangbabes ur order is on the way u should receive a service msg download ur content if u do not goto wap bangb tv on ur mobile internetservice menu,155,30,20,0,0,0,0,0,0,0,0,0,0
ham,0,i place all ur points on e cultures module already,51,10,1,0,0,0,0,0,0,0,0,0,0
spam,1,urgent we are trying to contact you last weekends draw shows that you have won a prize guaranteed call claim code s valid hrs only,157,27,23,1,0,0,0,1,1,0,1,1,1
ham,0,hi frnd which is best way to avoid missunderstding wit our beloved ones,74,13,1,1,0,0,0,0,0,0,0,0,0
ham,0,great escape i fancy the bridge but needs her lager see you tomo,67,13,3,0,0,0,0,0,0,0,0,0,0
ham,0,yes it completely in out of formclark also utter waste,59,10,1,0,0,0,0,0,0,0,0,0,0
ham,0,sir i need axis bank account no and bank address,50,10,10,0,0,0,0,0,0,0,0,0,0
ham,0,hmmm thk sure got time to hop ard ya can go free abt muz call u to discuss liao,94,20,4,0,1,0,0,0,1,0,0,0,0
ham,0,what time you coming down later,33,6,1,1,0,0,0,0,0,0,0,0,0
ham,0,bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m,105,21,3,0,0,0,0,0,0,0,0,0,0
ham,0,well im gonna finish my bath now have a goodfine night,61,11,2,0,0,0,0,0,0,0,0,0,0
ham,0,let me know when youve got the money so carlos can make the call,65,14,1,0,0,0,0,0,1,0,0,0,0
ham,0,u still going to the mall,26,6,1,1,0,0,0,0,0,0,0,0,0
ham,0,turns out my friends are staying for the whole show and wont be back til ltgt so feel free to go ahead and smoke that ltgt worth,146,30,1,1,1,0,0,0,0,0,0,0,0
ham,0,text her if she doesnt reply let me know so i can have her log in,66,16,2,0,0,0,0,0,0,0,0,0,0
ham,0,hi you just spoke to maneesha v wed like to know if you were satisfied with the experience reply toll free with yes or no,126,25,17,1,1,0,0,0,0,0,0,0,0
ham,0,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend,159,31,4,0,0,0,0,0,0,0,0,0,0
ham,0,lol no u can trust me,23,6,2,0,0,0,0,0,0,0,0,0,0
ham,0,ok i am a gentleman and will treat you with dignity and respect,65,13,1,0,0,0,0,0,0,0,0,0,0
ham,0,he will you guys close,24,5,1,1,0,0,0,0,0,0,0,0,0
ham,0,going on nothing greatbye,26,4,1,0,0,0,0,0,0,0,0,0,0
ham,0,hello handsome are you finding that job not being lazy working towards getting back that net for mummy wheres my boytoy now does he miss me,152,32,6,6,0,0,0,0,0,0,0,0,0
ham,0,haha awesome be there in a minute,34,7,1,0,0,0,0,0,0,0,0,0,0
spam,1,please call our customer service representative on freephone between ampm as you have won a guaranteed cash or prize,149,24,15,1,0,0,0,1,1,0,0,0,1
ham,0,have you got xmas radio times if not i will get it now,55,13,3,0,0,0,0,0,0,0,0,0,0
ham,0,i jus reached home i go bathe first but my sis using net tell u when she finishes k,88,19,3,0,0,0,0,0,0,0,0,0,0
spam,1,are you unique enough find out from th august,72,10,3,1,0,0,0,0,0,0,0,0,0
ham,0,im sorry ive joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week,185,38,5,0,0,0,0,0,0,0,0,0,0
ham,0,hi finally i completed the course,37,6,1,0,0,0,0,0,0,0,0,0,0
ham,0,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool,111,22,2,0,0,0,0,0,0,0,0,0,0
ham,0,how are you doing hope youve settled in for the new school year just wishin you a gr day,92,19,3,1,0,0,0,0,0,0,0,0,0
ham,0,gud mrng dear hav a nice day,28,7,1,0,0,0,0,0,0,0,0,0,0
ham,0,did u got that persons story,28,6,1,0,0,0,0,0,0,0,0,0,0
ham,0,is your hamster dead hey so tmr i meet you at pm orchard mrt,64,14,1,2,0,0,0,0,0,0,0,0,0
ham,0,hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx,131,30,4,2,0,0,0,0,0,1,0,0,0
ham,0,found it enc ltgt where you at,40,8,4,1,0,0,0,0,0,0,0,0,0
ham,0,i sent you ltgt bucks,28,5,1,0,0,0,0,0,0,0,0,0,0
ham,0,hello darlin ive finished college now so txt me when u finish if u can love kate xxx,84,18,2,0,0,0,0,0,0,1,0,0,0
ham,0,your account has been refilled successfully by inr ltdecimalgt your keralacircle prepaid account balance is rs ltdecimalgt your transaction id is kr ltgt,174,26,28,0,0,0,0,0,0,0,0,0,0
ham,0,goodmorning sleeping ga,24,3,1,0,0,0,0,0,0,0,0,0,0
ham,0,u call me alter at ok,25,7,1,0,0,0,0,0,1,0,0,0,0
ham,0,say until like dat i dun buy ericsson oso cannot oredi lar,64,13,1,0,0,0,0,0,0,0,0,0,0
ham,0,aight yo dats straight dogg,28,5,1,0,0,0,0,0,0,0,0,0,0
ham,0,you please give us connection today itself before ltdecimalgt or refund the bill,86,13,8,0,0,0,0,0,0,0,0,0,0
ham,0,both i shoot big loads so get ready,39,9,1,1,0,0,0,0,0,0,0,0,0
ham,0,whats up bruv hope you had a great break do have a rewarding semester,73,14,2,0,0,0,0,0,0,0,0,0,0
ham,0,home so we can always chat,26,6,1,0,0,0,0,0,0,0,0,0,0
ham,0,kkgoodstudy well,23,2,1,0,0,0,0,0,0,0,0,0,0
ham,0,yup how noe leh,24,5,3,0,0,0,0,0,0,0,0,0,0
ham,0,sounds great are you home now,31,6,2,2,0,0,0,0,0,0,0,0,0
ham,0,finally the match heading towards draw as your prediction,58,9,1,0,0,0,0,0,0,0,0,0,0
ham,0,tired i havent slept well the past few nights,48,9,2,0,0,0,0,0,0,0,0,0,0
ham,0,easy ahsen got selected means its good,41,7,1,1,0,0,0,0,0,0,0,0,0
ham,0,i have to take exam with march,32,8,1,0,0,0,0,0,0,0,0,0,0
ham,0,yeah you should i think you can use your gt atm now to register not sure but if theres anyway i can help let me know but when you do be sure you are ready,159,35,4,0,0,0,0,0,0,0,0,0,0
ham,0,ok no prob take ur time,25,6,2,0,0,0,0,0,0,0,0,0,0
ham,0,there is os called ubandu which will run without installing in hard diskyou can use that os to copy the important files in system and give it to repair shop,161,30,1,0,0,0,0,0,0,0,0,0,0
ham,0,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh,119,26,4,0,0,0,0,0,0,0,0,0,0
spam,1,new mobiles from must go txt nokia to no collect yours todayfrom only optout gbpmtmsg,143,21,21,2,0,0,0,0,0,1,0,0,0
ham,0,would really appreciate if you call me just need someone to talk to,69,13,2,0,0,0,0,0,1,0,0,0,0
spam,1,will u meet ur dream partner soon is ur career off a flyng start find out free txt horo followed by ur star sign e g horo aries,137,30,15,2,1,0,0,0,0,1,0,0,0
ham,0,hey company elama po mudyadhu,30,5,1,0,0,0,0,0,0,0,0,0,0
ham,0,life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning,165,27,8,0,0,0,0,0,0,0,0,0,0
ham,0,dear good morning now only i am up,34,8,1,0,0,0,0,0,0,0,0,0,0
ham,0,get down in gandhipuram and walk to cross cut road right side ltgt street road and turn at first right,109,20,2,0,0,0,0,0,0,0,0,0,0
ham,0,dear we are going to our rubber place,37,8,1,0,0,0,0,0,0,0,0,0,0
ham,0,sorry battery died yeah im here,33,6,2,0,0,0,0,0,0,0,0,0,0
ham,0,yeshere tv is always available in work place,48,8,1,0,0,0,0,0,0,0,0,0,0
spam,1,text meet someone sexy today u can find a date or even flirt its up to u join just p reply with name age eg sam msg pence,157,34,17,0,0,0,0,0,0,0,0,0,0
ham,0,i have printed it oh so ltgt come upstairs,50,9,2,0,0,0,0,0,0,0,0,0,0
ham,0,or ill be a little closer like at the bus stop on the same street,65,15,1,0,0,0,0,0,0,0,0,0,0
ham,0,where are youwhen wil you reach here,38,7,1,2,0,0,0,0,0,0,0,0,0
ham,0,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say im always correct,145,27,20,1,0,0,0,0,0,0,0,0,0
spam,1,u have a secret admirer who is looking make contact with ufind out who they rreveal who thinks ur so specialcall on,145,25,5,0,0,0,0,0,0,0,0,0,0
ham,0,tomarrow final hearing on my laptop case so i cant,51,10,1,0,0,0,0,0,0,0,0,0,0
ham,0,pleassssssseeeeee tel me v avent done sportsx,45,7,38,0,0,0,0,0,0,0,0,0,0
ham,0,okay no no just shining on that was meant to be signing but that sounds better,83,16,3,0,0,0,0,0,0,0,0,0,0
ham,0,although i told u dat im into baig face watches now but i really like e watch u gave cos its fr u thanx everything dat uve done today im touched,155,32,2,0,0,0,0,0,0,0,0,0,0
ham,0,u dont remember that old commercial,37,6,1,1,0,0,0,0,0,0,0,0,0
ham,0,too late i said i have the website i didnt i have or dont have the slippers,78,17,3,0,0,0,0,0,0,0,0,0,0
ham,0,i asked you to call him now ok,30,8,1,0,0,0,0,0,1,0,0,0,0
ham,0,kallis wont bat in nd innings,31,6,1,0,0,0,0,0,0,0,0,0,0
